title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
"Sansula (Max Cooper's ""Lost in Sound"" Mix)",Dominik Eulberg,120.19,8A,486.061,0.3258,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/46. Dominik Eulberg - Sansula (Max Cooper's ''Lost in Sound'' Mix).mp3,120.19,0.876,A minor,0.334,8A,mid,32.58,2,0.05456,0.137801,0.1378,280.667,1.569992,2651.508,5087.003,0.049607,0.1202,0.9356,44100,2,158,0618B_v1.0.0
Tendency,Jan Jelinek,123.05,8A,441.235,0.4314,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/47. Jan Jelinek - Tendency.mp3,123.05,1.0,A minor,0.136,8A,mid,43.14,3,0.168467,0.4091,0.4091,283.333,1.134288,1336.586,2748.522,0.013164,0.0606,0.9444,44100,2,185,0618B_v1.0.0
Unke (Original),"Smallpeople, Rau",123.05,12A,379.892,0.4709,"/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/48. Smallpeople, Rau - Unke (Original).mp3",123.05,0.997,C# minor,0.055,12A,mid,47.09,3,0.062592,0.451855,0.451839,430.667,1.622406,3301.311,6365.331,0.070378,0.1497,1.0,44100,2,184,0618B_v1.0.0
Gone,Sieg über die Sonne,129.2,9B,347.456,0.629,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/49. Sieg über die Sonne - Gone.mp3,129.2,0.97,G major,0.171,9B,dance,62.9,4,0.239032,0.661709,0.648364,414.0,1.540921,1917.574,4308.571,0.03763,0.087,1.0,44100,2,188,0618B_v1.0.0
Lime In Da Coconut,Cobblestone Jazz,129.2,1A,563.24,0.5451,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/50. Cobblestone Jazz - Lime In Da Coconut.mp3,129.2,0.96,G# minor,0.015,1A,dance,54.51,3,0.123896,0.441296,0.441296,457.333,1.941707,1780.249,3431.585,0.024182,0.0807,1.0,44100,2,186,0618B_v1.0.0
Boulinge,Cabanne,129.2,8A,117.918,0.598,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/51. Cabanne - Boulinge.mp3,129.2,0.97,A minor,0.2,8A,dance,59.8,3,0.170339,0.503431,0.499311,430.0,2.08882,2874.236,6246.607,0.035271,0.1304,1.0,44100,2,188,0618B_v1.0.0
Wheelsucker,Markus Nikolai,132.51,5A,409.052,0.4973,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/52. Markus Nikolai - Wheelsucker.mp3,132.51,0.971,C minor,0.099,5A,dance,49.73,3,0.098505,0.516068,0.516065,359.333,1.590678,3809.536,8013.779,0.058942,0.1728,1.0,44100,2,193,0618B_v1.0.0
Cala Llonga (Ricardo Villalobos Remix),Sven Väth,126.05,11A,653.376,0.6649,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/53. Sven Väth - Cala Llonga (Ricardo Villalobos Remix).mp3,126.05,1.0,F# minor,0.107,11A,dance,66.49,4,0.241077,0.720091,0.720091,412.0,1.79343,3346.687,7826.055,0.041172,0.1518,1.0,44100,2,191,0618B_v1.0.0
Perplexday,Maayan Nidam,121.6,4A,481.229,0.7003,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/54. Maayan Nidam - Perplexday.mp3,121.6,0.488,F minor,0.337,4A,mid,70.03,4,0.280344,0.670595,0.670574,458.667,1.905969,3456.502,6885.2,0.057301,0.1568,1.0,44100,2,89,0618B_v1.0.0
Untitled B1,Kassem Mosse,109.96,4B,341.343,0.5428,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/55. Kassem Mosse - Untitled B1.mp3,109.96,0.982,G# major,0.406,4B,mid,54.28,3,0.222175,0.653898,0.639606,298.667,1.427545,1902.321,3497.659,0.028875,0.0863,0.9956,44100,2,162,0618B_v1.0.0
