title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
Audio Margins s01,Unknown Artist,127.84,4A,169.68,0.6086,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Audio Margins s01.wav,127.84,0.944,F minor,0.138,4A,dance,60.86,4,0.173698,0.371057,0.36281,364.667,1.363675,2003.329,4228.077,0.0149,0.0835,1.0,48000,2,181,0618B_v1.0.0
Audio Margins,Unknown Artist,96.98,7A,154.96,0.5144,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Audio Margins.wav,96.98,0.99,D minor,0.001,7A,low_mid,51.44,3,0.150899,0.349166,0.348855,378.667,1.304995,1396.351,2910.614,0.019141,0.0582,1.0,48000,2,144,0618B_v1.0.0
Dust & Repetition (1),Unknown Artist,119.68,2A,84.0,0.6031,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Dust & Repetition (1).wav,119.68,0.943,D# minor,0.531,2A,mid,60.31,4,0.163828,0.404487,0.404445,445.0,1.187393,2010.749,4309.027,0.024071,0.0838,1.0,48000,2,158,0618B_v1.0.0
Dust & Repetition,Unknown Artist,119.68,2A,84.0,0.6031,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Dust & Repetition.wav,119.68,0.943,D# minor,0.531,2A,mid,60.31,4,0.163828,0.404487,0.404445,445.0,1.187393,2010.749,4309.027,0.024071,0.0838,1.0,48000,2,158,0618B_v1.0.0
End of Reel s01,Unknown Artist,83.96,3A,112.44,0.1296,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/End of Reel s01.wav,83.96,0.651,A# minor,0.424,3A,low_mid,12.96,1,0.088447,0.274958,0.274957,80.667,0.547039,673.19,728.246,0.011549,0.028,0.2689,48000,2,82,0618B_v1.0.0
End of Reel,Unknown Artist,102.27,6A,165.0,0.4456,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/End of Reel.wav,102.27,0.847,G minor,0.499,6A,low_mid,44.56,3,0.103534,0.35561,0.35558,408.0,1.340731,1400.986,2632.375,0.022629,0.0584,1.0,48000,2,130,0618B_v1.0.0
Fragment Index s01,Unknown Artist,106.13,4A,69.96,0.323,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Fragment Index s01.wav,106.13,0.945,F minor,0.611,4A,mid,32.3,2,0.062217,0.434702,0.434702,225.558,1.034963,5072.879,9464.394,0.130222,0.2114,0.7519,48000,2,117,0618B_v1.0.0
Fragment Index,Unknown Artist,125.0,1A,128.04,0.5217,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Fragment Index.wav,125.0,1.0,G# minor,0.391,1A,dance,52.17,3,0.091843,0.450306,0.450259,330.0,1.823806,4367.303,8236.37,0.123483,0.182,1.0,48000,2,188,0618B_v1.0.0
Fragmented Shelf s01,Unknown Artist,125.0,5B,195.24,0.6141,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Fragmented Shelf s01.wav,125.0,1.0,D# major,0.045,5B,dance,61.41,4,0.138982,0.414963,0.414611,493.333,1.611924,1966.906,4263.928,0.023325,0.082,1.0,48000,2,189,0618B_v1.0.0
Fragmented Shelf,Unknown Artist,119.68,3B,159.96,0.6392,/Users/studio/Music/_INBOX/Playlists : Mixes/Mapgasm/Micro-glitch/Fragmented Shelf.wav,119.68,0.997,C# major,0.053,3B,mid,63.92,4,0.170843,0.41518,0.371372,427.333,1.50114,1684.672,3517.592,0.018878,0.0702,1.0,48000,2,179,0618B_v1.0.0
